,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
13, pulmonary vasculature are symmetric and within normal limits,, bones normal for age,, there are areas of subsegmental atelectasis bilaterally,,,,,, mildly increased atelectasis or infiltrate in the right lower lung, indication chest pain chest injury motor vehicle accident chest one view report mild left basilar pulmonary consolidation is present,, right upper lobe airspace opacity likely representing pneumonia in the correct clinical setting, date examination chest views with date comparison clinical history history of mycobacterium avium pneumonitis complaining of fracture findings again identified are areas of atelectasis or scarring within the medial aspect of both lung bases involving the right middle lobe and lingula,,,,, mild cardiomegaly with mild pulmonary vascular congestion chf , borderline cardiac enlargement without evidence of pulmonary edema, report impression moderate congestive heart failure, there is mild central bronchial wall thickening suggestive of bronchitis or reactive airway disease, mild central peribronchial thickening which may indicate bronchitis,, this may represent a calcified granuloma, this nodule may be obscuring on the lateral view by the heart, heart and mediastinum massive cardiomegaly, increased pulmonary interstitial markings diffusely may be exaggerated by technical difference,,,,,, pneumothorax none,, stable cardiomegaly, the heart size mediastinal contours are unchanged,,,,,,,, tracheostomy cannula,,,,,, pulmonary inflation is suboptimal, osseous structures mild degenerative changes in the spine, old left rib fractures, there is a mild to moderate thoracic scoliosis,,, osteopenia of the bony structures, there is normal mineralization, mild osteoarthritis,,,,,,,,,,,,,,,,,,, findings metallic right upper quadrant surgical clips suggest remote cholecystectomy, examination xr chest view portable date am comparison xr chest view portable date am history age year old female admitted with coronary artery disease chronic systolic heart failure and cardiac arrest status post three vessel cabg on date with ecmo and follow up mediastinal washout and drainage with delayed primary closure of the sternum ventilator dependent for portable chest film evaluation of endotracheal tube findings a single portable semiupright view of the chest demonstrates adequately positioned endotracheal tube with distal tip projecting , left sided chest tube,,,,,,,,,,
14, the paraspinal soft tissues are within normal limits,, bones and soft tissues normal for age,, bilateral subsegmental atelectasis,,,,,, lungs are clear without significant infiltrate mass or atelectasis, lung clear without consolidation or pulmonary nodules,, persistent graduated bibasilar opacity obscuring diaphragm, findings there are patchy interstitial densities in the right lower lobe compatible with pneumonitis,,,,, question of mild pulmonary vascular congestion without evidence of pulmonary edema, findings favor bibasilar atelectasis and or pneumonia without evidence of florid pulmonary edema, impression findings are most compatible with congestive heart failure, mild central bronchial wall thickening suggestive of bronchitis or reactive airway disease,,, there is a small granuloma at the left base, multiple small nodules scattered throughout the left lung measuring approximately centimeter in size, massive cardiomegaly, increased interstitial markings,,,,,, findings lungs normal pneumothorax none,, history r fever nos findings exams report header chest v ap and lat report body moderate cardiomegaly, heart size is normal,,,,,,,, findings tracheostomy cannula,,,,,, exam frontal and lateral views of the chest history cough comparison none findings pulmonary hyperinflation, degenerative changes are seen in the spine, right sided rib fracture deformities are evident as before, mild lower dorsal levoscoliosis and moderate lumbar dextroscoliosis,,, there is osteopenia, there is normal mineralization, mild osteoarthritis,,,,,,,,,,,,,,,,,,, there are numerous surgical clips in the upper abdomen, postoperative change of recent cabg, examination xr chest views frontal lateral date pm comparison xr chest view portable date date pm history chest tube removal diagnosis i ,,,,,,,,,,
15, pulmonary vasculature within normal limits,, bones normal for age,, report impression right basilar atelectasis with small right effusion,,,,,, cm in size suggesting possible pneumonic infiltrate, exam pa and lateral chest x ray clinical history chest pain comparison date findings infiltrate with consolidation is present in the right lower lobe,, heterogeneity of basilar opacity consistent with parenchymal infiltrative component, report impression patchy interstitial densities in the right lower lobe compatible with pneumonitis,,,,,, clinical history pulmonary edema shortness of breath dyspnea, history congestive heart failure chf r o pulmary edema findings exams report header chest v ap and lat report body findings evaluation of chest, there is mild central bronchial wall thickening which may represent underlying bronchitis,,, mm granuloma seen right upper lobe may have represented a granuloma, multiple cm nodules scattered in the mid and lower left chest, the lungs and pleural space are clear of acute infiltrates masses or pleural effusions, findings lungs pleural space there is mild prominence of the pulmonary interstitial markings,,,,,, pneumothorax none,, report impression moderate cardiomegaly, heart size and pulmonary vascularity are normal,,,,,,,, the distal tip of tracheostomy tube is above the level of the carina,,,,,, pulmonary hyperinflation, there are moderate degenerative changes of the thoracic spine, there are older left sided rib fractures but there also appear to be some new left rib fractures involving and possibly th and , mild thoracic scoliosis,,, osteopenia, normal mineralization of the visualized osseous structures, mild osteoarthritis,,,,,,,,,,,,,,,,,,,, chronic postop changes of cabg, the left sided chest tube has been removed,,,,,,,,,,
16, findings heart size is within normal limits,, bones normal for age,, may simply be accentuation of atelectasis,,,,,, results the lungs are clear of active infiltrates, report impression bilateral lower lobe consolidation,, there is mildly increased opacity in the right lower lung consistent with infiltrate and or atelectasis,,,,,,, history cough tb screening for pos ppd findings exams report header chest v ap and lat report body findings the lung fields are clear without active consolidation pulmonary edema mass or effusion, history congestive heart failure pain findings exams report header chest v report body comparison , findings lungs mild central bronchial wall thickening,,, partially calcified approximately mm nodule overlying the mid to upper left lung field most likely represents a benign granuloma, there is evidence of bilateral lung nodules, the lung fields demonstrate coarsening of bronchovascular markings but are well expanded without infiltrate mass effusion or pneumothorax, there is mild prominence of the pulmonary interstitial markings,,,,,, pneumothorax none,, borderline cardiomegaly, the heart size is normal,,,,,,,, findings cardiomegaly with sternal wires and tracheostomy unchanged,,,,,, left lung is well inflated and clear, posterior facet degenerative changes are present, impression there are at least and possibly new left sided rib fractures,,,, osteopenia, bone mineralization appears within normal limits,,,,,,,,,,,,,,,,,,,,, history preop for cabg, interval removal left sided chest tube,,,,,,,,,,
17, pulmonary vessels are within normal limits,, chest wall normal for age,, adjacent lung opacities most likely compressive atelectasis,,,,,, findings the lungs are adequately inflated and are clear without infiltrate effusion or pneumothorax, the pulmonary parenchyma appears normal without focal findings such as mass consolidation or effusion,, the lungs are expanded with persistent opacity in the left lower lobe similar to the previous study,,,,,,, this is consistent with pulmonary edema, history congestive heart failure chf findings exams report header chest x ray v report body comparison is made to the prior examination of , impression central bronchial wall thickening consistent with asthma or bronchitis,,,, bilateral lung nodules this report was electronically signed by doctor name md on date time pm, lungs and pleural spaces remain clear without interval pulmonary infiltrates masses or pleural effusions, there are increased reticulonodular interstitial markings with apparent thickening of the interstitium,,,,,, pneumothorax none,, overall cardiomegaly is stable to slightly improved, heart size and pulmonary vascularity are normal,,,,,,,, midline tracheostomy tube is present with tip above carina,,,,,, there are bilateral lung hyper inflation, disc degenerative changes are most pronounced at l l , findings remote partially healed right th rib fracture,,,, mild diffuse osteopenia, there is mild demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, history age year old male with chest tube removal and a history of pneumonia laryngeal cancer and lymphoma,,,,,,,,,,
18, bone mineralization is within normal limits,, examination portable ap view of the chest comparison none clinical indication postop problems findings the musculoskeletal cardiovascular and pulmonary parenchymal structures are normal for age,, linear band of scarring versus atelectasis in the left midlung zone,,,,,, there is vague opacification in the right midlung which may represent infiltrate, history cough tb screening for pos ppd findings exams report header chest v ap and lat report body findings the lung fields are clear without active consolidation pulmonary edema mass or effusion,, findings lungs there is a subtle patchy rounded opacity in the right base measuring ,,,,,,, cardiomegaly with a mild to moderate degree of pulmonary edema and small bilateral pleural effusions, examination xr chest view portable date am comparison xr chest view portable date am history age year old female admitted with coronary artery disease chronic systolic heart failure and cardiac arrest status post three vessel cabg on date with ecmo and follow up mediastinal washout and drainage with delayed primary closure of the sternum ventilator dependent for portable chest film evaluation of endotracheal tube findings a single portable semiupright view of the chest demonstrates adequately positioned endotracheal tube with distal tip projecting , small left pleural effusion with ill defined basilar left lower lobe parenchymal opacities and associated bronchial wall thickening,,,, right basilar nodule measuring mm, study chest x ray one view history status post lung mass resection findings comparisons date postoperative changes are again identified in the right chest, findings lungs pleural space minimally prominent interstitial markings probably related to low lung volumes,,,,,, the lung fields demonstrate coarsening of bronchovascular markings but are well expanded without infiltrate mass effusion or pneumothorax,, stable to slightly improved cardiomegaly, heart size is normal,,,,,,,, examination xr chest view portable date date am comparison xr chest view cvc insrt fup date date pm clinical history stroke respiratory failure tracheostomy lung infiltrate examination single view chest,,,,,, findings the lungs are hyperinflated compatible with air trapping, the visualized osseous structures demonstrate degenerative changes, rib fractures,,,, diffuse osteopenia, mild demineralization,,,,,,,,,,,,,,,,,,,,,, right chest tubes have been removed,,,,,,,,,,
19, the cardiomediastinal silhouette is within normal limits,,,, bibasilar opacities compatible with atelectasis,,,,,, there is patchy infiltrate in the right lower lobe suspicious for pneumonia, impression bibasilar lung opacities with posterior consolidation on the left and small associated pleural effusions left greater than right,, subtle rounded patchy opacity in the right base measuring ,,,,,,, pulmonary venous congestion is again identified without overt signs of pulmonary edema, report impression developing mild congestive heart failure cptcode lat ,,,,, right basilar pulmonary nodule, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,,,,,,, pneumothorax none,, report impression cardiomegaly and chronic appearing changes as discussed, date examination chest views clinical history difficulty breathing findings heart size and pulmonary vascularity are normal,,,,,,,, findings tracheostomy tube is in its expected location,,,,,, findings the lungs are hyperinflated with flattened hemidiaphragms, degenerative changes are seen in the thoracic spine, stable left rib fractures,,,, osteopenia is present, normal mineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, interval removal of the right chest tubes without a pneumothorax,,,,,,,,,,
20, the heart and mediastinal structures are within normal limits,,,, hypoventilatory changes are present which include scattered subsegmental atelectasis in both lung bases,,,,,, report impression patchy infiltrate in right lower lobe suspicious for early pneumonia, there is poor inspiratory effort without focal findings such as mass consolidation or effusion,, comparison date history aortic aneurysm findings persistent pleural parenchymal opacity at the right lung base is similar compared to prior compatible with small amounts of pleural thickening pleural fluid and associated airless lung,,,,,,, atypical appearance for pulmonary edema, report impression congestive heart failure,,,,, more calcified nodule seen in the right axilla question calcified node, right upper lobe mass,,,,,,, pneumothorax none heart and mediastinum the cardiac silhouette is mildly enlarged unchanged,, perihilar and bibasilar groundglass opacities with cardiomegaly suggesting congestive heart failure, cardiac normal heart size midline trachea patent,,,,,,,, the distal tip of tracheostomy tube is above the level of the carina,,,,,, impression hyperinflated lungs with flattened hemidiaphragms which can be seen in obstructive lung disease, joint spaces demonstrate degenerative changes of the fourth pip joint, there are multiple right sided acute rib fractures involving sixth seventh probably eighth and ninth ribs,,,, osteopenia is present, the bony mineralization is mildly decreased,,,,,,,,,,,,,,,,,,,,,, right chest tube and mediastinal drain tube from the inferior approach,,,,,,,,,,
21, heart is within normal limits,,,, history dyspnea findings exams report header chest v ap lat report body views of the chest small bilateral effusions are seen with some compressive atelectasis at the bases,,,,,, exam pa and lateral chest x ray clinical history chest pain comparison date findings infiltrate with consolidation is present in the right lower lobe, bilateral pleural effusions and bilateral lower lobe airspace opacities which could be consistent with atelectasis or consolidation,, there is a different nodular opacity demonstrated within the central right lower lung zone finding which may represent a nipple shadow,,,,,,, there is mild vascular congestion without evidence of frank pulmonary edema, report impression moderate congestive heart failure,,,,, there is a rounded nodule in the left upper lung zone which has increased in size since the date exam and is compatible with the patient s known adenocarcinoma, medial left upper lobe mass,,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,, there is cardiomegaly, heart size is normal,,,,,,,, findings portable ap chest x ray demonstrates tracheostomy and feeding tubes to be present as well as a right ij central line,,,,,, other impression unchanged mild blunting of the left posterior costophrenic angle may represent a small pleural effusion versus scarring or hyperinflation of the lungs, degenerative changes of the fourth dip joint, multiple right sided rib fractures,,,, there is diffuse osteopenia, there is moderate demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, exam chest series date clinical indication followup pneumothorax chest tube in place,,,,,,,,,,
22, cptcode lat report header chest v report body findings the cardiomediastinal silhouette is within normal limits,,,, question of left lower lobe infiltrate versus atelectasis,,,,,, impression right lower lobe infiltrate and small pleural effusion consistent with pneumonia, findings there are patchy airspace densities in the right lower lung with partial consolidation,, apical opacity seen previously represents mild bilateral apical parenchymal scarring,,,,,,, mild vascular congestion without evidence of frank pulmonary edema this report was electronically signed by doctor name md on date time am, history congestive heart failure chf findings exams report header chest v report body single view of the chest is submitted,,,,, increase in size of the large nodule in the left upper lung zone, lungs are clear without significant infiltrate mass or atelectasis,,,,,,, acute fracture through the lateral right fifth rib without pneumothorax or pleural effusion,, cardiomegaly, the heart size is normal,,,,,,,, tracheostomy tube tip cm above the carina,,,,,, the lung fields appear to be mildly hyperinflated when compared to the prior examination however this is difficult to evaluate due to patient s severe obesity, joint spaces demonstrate degenerative changes of the third and fourth and fifth dip joint and th pip joint, healed rib fracture deformity evident on the left,,,, diffuse osteopenia, moderate demineralization,,,,,,,,,,,,,,,,,,,,,, bilateral chest tubes and likely a mediastinal chest tube,,,,,,,,,,
23, cardiac silhouette is within normal limits,,,, subsegmental atelectasis is identified in both lung bases,,,,,, report impression patchy perihilar infiltrates, there is mild congestion of the pulmonary vasculature without evidence of consolidation or effusion,, patchy airspace opacity is visible at the left lung base,,,,,,, in the proper clinical context consider mild pulmonary edema, marked pulmonary edema likely from congestive heart failure,,,,, partially calcified approximately mm nodule overlying the mid to upper left lung field most likely represents a benign granuloma, left superior mediastinal mass concerning for malignancy documented on recent chest ct,,,,,,, pneumothorax none,, impression cardiomegaly, findings heart size is within normal limits,,,,,,,, additional findings tracheostomy tube is unchanged in position,,,,,, impression apparent mild pulmonary hyperinflation consistent with clinical diagnosis of asthma, degenerative changes especially involving dip joints, probably chronic interstitial scarring or subsegmental atelectasis chronic degenerative changes and old healed rib fracture deformity on the left,,,, osteopenia, normal mineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, support lines tubes left chest tube is stable,,,,,,,,,,
24, the hila and mediastinum are within normal limits,,,, history atelectasis,,,,,, history pneumonia findings there is opacity left lung base which may represent an infiltrate, parenchymal consolidation likely secondary to a pneumonia,, patchy left basilar airspace opacity subsegmental atelectasis versus pneumonia please correlate clinically,,,,,,, there is diffuse infiltrate seen within the lungs suggesting pulmonary edema, cardiomegaly and mildly ill defined pulmonary vasculature suggesting congestive heart failure,,,,,, mediastinum persistent left superior mediastinal and para aortic soft tissue mass as seen on the recent chest ct,,,,,,, pneumothorax none,, report impression bilateral pleural effusions with cardiomegaly, the heart size is normal,,,,,,,, findings portable ap chest x ray demonstrates feeding and tracheostomy tubes to be present,,,,,, there is a marked amount of chronic lung disease with flattening of the diaphragms and increase in the transverse diameter of the chest, degenerative changes are seen in the spine, apparent old healed inferior lateral right sixth eighth and ninth rib fractures,,,, osseous structures osteopenia, bone mineralization appears within normal limits,,,,,,,,,,,,,,,,,,,,,, a left chest tube remains in place,,,,,,,,,,
25, the cardiomediastinal contours are within normal limits,,,, there are persistent bilateral pleural effusions with underlying atelectasis or pneumonia,,,,,, left basilar opacity which may represent an infiltrate or atelectasis, atelectasis and or consolidation in the right lower lobe,, history pneumonia findings there is opacity left lung base which may represent an infiltrate,,,,,,, mild diffuse pulmonary edema,,,,,,, left superior mediastinal mass concerning for malignancy,,,,,,, pneumothorax none,, there is cardiomegaly with interstitial edema, heart size is stable with atherosclerotic plaques in the aorta,,,,,,,, examination xr chest view portable date am comparison xr chest view portable date date pm history respiratory distress findings medical devices unchanged tracheostomy tube right picc line nasogastric tube partially visualized enteric feeding tube and left chest wall pacemaker,,,,,, lungs hypoinflated, the bony structures show moderately advanced degenerative changes, multiple left sided rib fractures,,,, cardiomegaly and thoracic kyphosis with spondylosis and osteopenia, there is diffuse bony demineralization,,,,,,,,,,,,,,,,,,,,,, support lines tubes bilateral chest tubes unchanged,,,,,,,,,,
26, the cardiac size is within normal limits,,,, persistent bilateral pleural effusions with underlying atelectasis or pneumonia,,,,,, pathologic infiltrate may be obscured, lung fields are well aerated without frank consolidation or effusion,, left basilar opacity which may represent an infiltrate or atelectasis,,,,,,, report impression mild pulmonary edema,,,,,,, lungs are well expanded and free of consolidation effusion adenopathy or mass,,,,,,, findings lungs normal pneumothorax none,, impression cardiomegaly without evidence of overt pulmonary edema, upper limit normal heart size trachea midline and patent,,,,,,,, tracheostomy tube is in place,,,,,, lateral view shows mild hyperinflation, degenerative changes are seen in the spine, impression healing right th rib fracture,,,, osteopenia and mild djd is present, bone mineralization is within normal limits,,,,,,,,,,,,,,,,,,,,,, left chest tube unchanged,,,,,,,,,,
27, the mediastinum and cardiac silhouette are within normal limits,,,, there is basilar atelectasis,,,,,, lungs are well expanded and free of acute infiltrate without change since the study of , dense consolidation in the right mid to lower lung zones persist,, there is increasing opacity at the left lung base,,,,,,, findings lungs pulmonary vascular congestion and interstitial pulmonary edema appears worse,,,,,,, correlate with rib exam date findings there is a large right perihilar mass now with moderate confluent right upper lobe opacity extending from the hilum peripherally with moderate right upper lobe volume loss,,,,,,, interval removal of the right chest tubes without a pneumothorax,, report impression mild cardiomegaly with mild pulmonary vascular congestion, heart size and pulmonary vascularity appear normal,,,,,,,, tracheostomy tube is in place,,,,,, there are bilateral lung hyper inflation, there are mild degenerative changes of the thoracic spine, multiple chronic bilateral rib fractures are present and similar to the previous study of date cardiac and mediastinal contours are stable,,,, osteopenia is evident, the bony mineralization is mildly decreased,,,,,,,,,,,,,,,,,,,,,, findings a left sided chest tube is in place with interval near complete reduction of the previously identified pneumothorax,,,,,,,,,,
28, the mediastinal and hilar contours are within normal limits,,,, lungs persistent atelectasis of the right lower lobe and elevated right hemidiaphragm,,,,,, there is extensive infiltrate in both lung bases, persistent consolidation in the right midlower lung zones,, findings lungs there are bilateral pleural effusions which appear increased in size compared to date there is volume loss in both lungs with increased focal opacity in the left lower lobe,,,,,,, persistent airspace densities most likely representing pulmonary edema and left basilar atelectasis,,,,,,, large right perihilar mass now with right upper lobe volume loss and confluence infiltrate possibly postobstructive atelectasis and or pneumonia,,,,,,, pneumothorax none,, cptcode lat report header chest v report body findings there is interstitial edema cardiomegaly and mild congestive heart failure, findings heart size is within normal limits,,,,,,,, tracheostomy tube feeding tube and right arm picc line are in place unchanged,,,,,, lungs the lung inflation is mildly improved, degenerative changes both shoulders, chronic bilateral rib fractures,,,, marked osteopenia, normal mineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, interval placement of left sided chest tube with near complete reduction of the left pneumothorax when compared to ct from date ,,,,,,,,,,
29, exam portable ap chest indication history chest pain comparison none findings position upright heart and mediastinum cardiomediastinal silhouette is within normal limits,,,, persistent atelectasis and consolidation in the right lower lobe which appears stable from the prior exam,,,,,, report impression bilateral lower lobe infiltrates, decreased aeration the lungs after extubation with atelectasis and or consolidations in the mid to lower lung zones,, impression increasing bilateral pleural effusions with increasing focal opacity in the left lower lobe,,,,,,, there is been considerable interval improvement in changes of pulmonary vascular congestion pulmonary edema,,,,,,, interstitial markings are prominent throughout the lung fields without definite consolidation mass or effusion,,,,,,, pneumothorax none,, cardiomegaly is present there does appear to be some pulmonary vascular venous congestion and indistinctness of the pulmonary vasculature early interstitial pulmonary edema may exist, heart size is within the upper limits of normal,,,,,,,, heart is mildly prominent area tracheostomy tube is unchanged,,,,,, impression mildly improved lung inflation with subsegmental airspace opacity in the lower lung zones likely atelectasis or scarring, similar degenerative changes of the thoracic aorta and spine along with calcification of the mitral valve annulus, old healed posterolateral mid lower right rib fractures,,,, marked osteopenia, there is mild demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, two right sided chest tubes endotracheal tube feeding tube and central venous catheter are unchanged in position,,,,,,,,,,
30, the mediastinum and cardiac silhouette are within normal limits,,,, hazy opacity is now visualized over the left hemithorax laterally which could be artifactual or could represent an of atelectasis or contusion,,,,,, history pneumonia priors date conclusions worsening right basilar infiltrate, examination xr chest views frontal lateral date date pm comparison none clinical data fever technique pa and lateral radiographs findings lungs coalescent airspace consolidation involving the superior segment right lower lobe and possibly right middle lobe,, patchy bilateral areas of opacity are present in a relatively alveolar pattern,,,,,,, impression considerable interval improvement in changes of vascular congestion and pulmonary edema when compared to the most recent prior study,,,,,,, mediastinal mass,,,,,,, findings lungs normal pneumothorax none,, impression cardiomegaly with findings of pulmonary vascular venous congestion and possible early pulmonary edema, findings heart size is within normal limits,,,,,,,, heart is mildly prominent area tracheostomy tube is unchanged,,,,,, findings the lungs are adequately inflated and are clear without infiltrate effusion or pneumothorax, rib deformities likely chronic skeletal degenerative changes, bones soft tissues posterior rib fractures on the left,,,, marked osteopenia, mild demineralization,,,,,,,,,,,,,,,,,,,,,, clinical history aortic dissection status post chest tube removal,,,,,,,,,,
31, the mediastinum and cardiac silhouette are within normal limits,,,, new vague opacity over left midlung laterally may represent artifact or may represent atelectasis or contusion,,,,,, there is infiltrate in the left lung base with small effusion, impression right lower and possibly middle lobe airspace consolidation pneumonia with small effusion,, focal subsegmental opacity at the right base is present,,,,,,, increased bilateral interstitial and alveolar opacities may reflect pulmonary edema on top of chronic lung disease,,,,,,, exam views of the chest comparison date indication chest mass findings lung volumes are normal,,,,,,, two view chest x ray from date history questionable pneumothorax,, stable cardiomegaly, normal heart size trachea is midline and patent,,,,,,,, tracheostomy is in good position,,,,,, the lungs remain hyperinflated and again demonstrate marked emphysematous changes, the osseous structures demonstrate age appropriate degenerative changes in the thoracic spine with some mild anterior osteophytes, posterior rib fractures again identified on the left,,,, findings there is mild osteopenia osteoporosis which limits visualization of bony details, bone mineralization appears within normal limits,,,,,,,,,,,,,,,,,,,,,, support lines tubes left chest tube extending into the left apex stable,,,,,,,,,,
32, the cardiomediastinal contours are within normal limits,,,, there is mild patchy lung opacity left greater than right likely representing atelectasis with probable layering left pleural effusion,,,,,, left lower lobe infiltrate with small effusion, findings bilateral pulmonary consolidation greatest within the upper lobes again identified slightly worse on the current examination particularly on the left,, there is mild irregular parenchymal opacity in the mid right middle lobe mildly but clearly decreased compared to the th,,,,,,, impression increased interstitial and alveolar lung opacities may be due to pulmonary edema on top of chronic lung disease,,,,,,, final dictated by doctor name dictated dt tm date time pm signed by doctor name signed electronic signature date time pm transcribed by technician name examination xr ribs views left date date pm examination xr ribs views right date date pm comparison chest x ray date history chest wall mass golf ball size lump to the right of sternum findings bb marks the site of palpable concern in the right chest wall,,,,,,, an air fluid level is identified at the left lung apex which is new and likely represents changes of hydropneumothorax,, moderate cardiomegaly is a stable finding, the heart size is normal,,,,,,,, there is a tracheostomy cannula,,,,,, findings lungs hyperinflation and peribronchial cuffing without a focal alveolar infiltrate, degenerative changes obscuration of detail, old right rib fracture is evident,,,, there is osteopenia, normal mineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, the left chest tubes remain in place,,,,,,,,,,
33, the cardiomediastinal contours are within normal limits,,,, probable layering left pleural effusion with mild patchy atelectasis,,,,,, a small mild interstitial infiltrate is present in the medial left base consistent with pneumonia, impression worsening predominantly bilateral upper lobe pulmonary consolidation,, on the lateral view opacity in the posterior inferior lung base probably in the left lower lobe likely reflects atelectasis although a developing focal area of infiltrate would be difficult to exclude,,,,,,, mild cardiomegaly with changes of pulmonary venous hypertension but without frank pulmonary edema,,,,,,, history r o tb findings exams report header chest v report body views show lung fields clear without infiltrate effusion or mass,,,,,,, pneumothorax none,, stable moderate cardiomegaly this report was electronically signed by doctor name on date time pm, findings heart size and pulmonary vascularity are normal,,,,,,,, tracheostomy cannula,,,,,, lateral view shows moderate hyperinflation, degenerative changes right ac joint, examination rib series radiograph indication chest pain trauma rib fracture scanning injury findings views of the left ribs demonstrate cortical irregularity involving the left lateral seventh rib felt to represent minimally displaced fracture,,,,, there is mild demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,, support lines tubes stable left chest tube with the tip in the mid chest,,,,,,,,,,
34, findings heart size is within normal limits,,,, lungs right medial basilar atelectasis versus early consolidation,,,,,, report impression mild acute infiltrate medial left base, mild patchy airspace opacity at both lung bases without consolidation,, there is an area of airspace opacity within the left lower lobe which would be consistent with pneumonia in the correct clinical setting,,,,,,, peribronchial cuffing secondary to interstitial hydrostatic pulmonary edema is felt less likely though correlation with serum bnp level is recommended,,,,,,, the peripheral lung fields are clear acute infiltrates masses pleural effusions,,,,,,, pneumothorax none,, impression bibasilar pulmonary opacities in the setting of low lung volumes and cardiomegaly, findings heart size is upper limits of normal,,,,,,,, findings tracheostomy cannula,,,,,, moderate central bronchial wall thickening with hyperinflation consistent with chronic bronchitis or copd, chest wall osseous degenerative changes without acute abnormality, examination xr chest view portable date date am comparison xr chest view portable date am clinical data rib fractures,,,,, mild demineralization,,,,,,,,,,,,,,,,,,,,,, the other medial apically directed chest tube had been removed,,,,,,,,,,
35, bone mineralization appears within normal limits,,,, minimal left basilar atelectasis,,,,,, decreasing right middle lobe infiltrate consistent with improving pneumonia, lung fields are well aerated without frank consolidation or effusion,, strand like opacity of left infrahilar region consistent with atelectasis,,,,,,, lungs demonstrate heterogeneous opacities consistent with moderate pulmonary edema,,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,,,,,,, pneumothorax none,, cardiomegaly, the heart size is normal,,,,,,,, the distal tip of tracheostomy tube is above the level of the carina,,,,,, lungs large lung volumes with flattening of the hemidiaphragms consistent with patient s history of copd, chronic degenerative changes evident in the spine, healed rib fracture on the right,,,,, the bony mineralization is mildly decreased,,,,,,,,,,,,,,,,,,,,,, mildly improved aeration following removal of one left chest tube since date this report was electronically signed by doctor name on date time am,,,,,,,,,,
36, findings heart size is within normal limits,,,, mild bilateral basilar atelectasis versus early consolidations,,,,,, on the lateral view opacity in the posterior inferior lung base probably in the left lower lobe likely reflects atelectasis although a developing focal area of infiltrate would be difficult to exclude, there is a moderate size left pleural effusion with left lower lung field consolidation in keeping with atelectasis and or pneumonic infiltrate in the appropriate clinical setting,, perihilar opacity,,,,,,, moderate pulmonary edema and cardiomegaly,,,,,,, chest erect pa and lateral views demonstrate right lower lobe infiltrate presumably inflammatory may be slightly more obvious than on prior study of date because of its somewhat focal nature recommend followup radiographs to resolution to exclude possible mass,,,,,,, findings lungs normal pneumothorax none,, cardiac mild cardiomegaly with a cardiac pacemaker unchanged from the previous exam, findings heart size is normal,,,,,,,, findings cardiomegaly with sternal wires and tracheostomy unchanged,,,,,, lungs the lungs are mildly hyperinflated, probably chronic interstitial scarring or subsegmental atelectasis chronic degenerative changes and old healed rib fracture deformity on the left, study is negative for rib fracture or hemopneumothorax,,,,, the bony mineralization is moderately decreased,,,,,,,,,,,,,,,,,,,,,, pleural space right sided chest tubes are present,,,,,,,,,,
